,id,text,user1_stance1,user1_comment,user1_confidence,user1_stance2,user1_time,annotator_id,user2_stance1,user2_comment,user2_confidence,user2_stance2,user2_time,user2_annotator_id,user3_stance1,user3_comment,user3_confidence,user3_stance2,user3_time,user3_annotator_id
0,1.334798555345793e+18,"#kayburley  BREAKING NEWS : #Pfizervaccine Impact on Fertility UNKNOWN <a href=""https://t.co/vXUy7apMQ3  ""  target=""_blank"">https://t.co/vXUy7apMQ3 </a> BREAKING NEWS: effects on Fertility UNKNOWN #Pfizervaccine https://t.co/BxikoMFjkz  ",anti,,4,NotAva,38.857,user_11,irrelevant,,5.0,NotAva,97.306,user_10,anti,,5.0,NotAva,9.847,additional_user_3
1,1.334943611251671e+18,@jaketapper Wanna know how leadership will respond?  #FREEDOM #MyBodyMyChoice,irrelevant,,3,NotAva,11.455,user_5,anti,Using hashtags that suggest the user might want to have an option to not get vaccinated.,5.0,NotAva,34.168,user_4,anti,,3.0,irrelevant,23.383,additional_user_3
2,1.335153117751546e+18,@BBCBreakfast #vaccine. What are the long term effects or side effects of this vaccine? #COVID19,hesitant,,4,NotAva,6.8,user_1,irrelevant,,5.0,NotAva,10.35,user_2,irrelevant,,5.0,NotAva,84.605,additional_user_3
3,1.3352375817730908e+18,"@JoeBiden yes, cases cases cases. i won't comply. #mybodymychoice",hesitant,,5,NotAva,13.17,user_5,anti,,5.0,NotAva,16.359,user_6,anti,,2.0,hesitant,23.383,additional_user_3
4,1.3355917948437747e+18,"#Pfizer #COVID19 jab warning: No breastfeeding, avoid pregnancy for 2 months, unknown fertility impacts | #health #fertility #vaccine  <a href=""https://t.co/qvwSijfn7S  ""  target=""_blank"">https://t.co/qvwSijfn7S </a>",anti,,5,NotAva,83.446,user_8,anti,not explicitly against or hesitant because it is directing others,2.0,hesitant,61.562,user_7,anti,,5.0,NotAva,9.484,additional_user_3
5,1.3358892494223603e+18,Will you travel in Summer 2021? #incredibleindia #incredible #COVID19  #CovidVaccine  #travel,irrelevant,,5,NotAva,37.966,user_1,pro,,5.0,NotAva,10.333,user_2,irrelevant,,5.0,NotAva,9.847,additional_user_3
6,1.3363367963895355e+18,GOVERNMENT TRUSTS #PFIZER!   CAN WE TRUST THE GOVERNMENT?,hesitant,,5,NotAva,9.818,user_2,anti,,4.0,NotAva,7.498,user_1,hesitant,,4.0,NotAva,9.484,additional_user_3
7,1.3364442748927918e+18,"""to live or not to live, that is the question""  #Shakespeare #WilliamShakespeare #ShakespeareVax #VAX #COVID19 #vaccine <a href=""https://t.co/QVlbX0yoIq  ""  target=""_blank"">https://t.co/QVlbX0yoIq </a>",irrelevant,,5,NotAva,81.911,user_10,pro,,5.0,NotAva,33.917,user_11,irrelevant,"just a meme, no real opinion",2.0,pro,23.383,additional_user_3
8,1.3367187807103918e+18,"""My hope is that our community will believe that they have trusted messengers, trusted advocates, trusted entities at the table looking out for them..."" #covid19 #vaccine  <a href=""https://t.co/cRQ9w9TOff  ""  target=""_blank"">https://t.co/cRQ9w9TOff </a>",irrelevant,,5,NotAva,62.494,user_4,pro,,4.0,NotAva,49.633,user_6,irrelevant,,5.0,NotAva,9.484,additional_user_3
9,1.3374936202581235e+18,"Learning as we go: #Covid19 #vaccine #Pfizer #allergies  People with bad allergies don't do well with Pfizer's Covid19 vaccine, according to UK <a href=""https://t.co/ArGEsFXTRN  ""  target=""_blank"">https://t.co/ArGEsFXTRN </a>",pro,,4,NotAva,114.709,user_7,hesitant,,4.0,NotAva,38.472,user_9,anti,,5.0,NotAva,9.484,additional_user_3
10,1.3381367374454129e+18,Moral of the story: Open societies must rely only on open societies. Theymust be totally wary of other societies and must remain isolated from them as far as is possible.  The Final Jigsaw in the Puzzle  🔸#Wuhan's #Chinese biological workshop where it was confirmed as the source of the virus that causes #Covid19 has a substantial shareholding of #Glaxosmith  🔸Which by coincidence owns #Pfizer  🔸Which by coincidence manages #Blackrock's finances,anti,,5,NotAva,32.106,user_7,irrelevant,,5.0,NotAva,49.648,user_9,anti,,5.0,NotAva,9.484,additional_user_3
11,1.3381948113004175e+18,"Wow, the side effects for the #Pfizervaccine seem to be the same side effects as catching the Rona. #Covid_19",anti,Possibly sarcasm and unsure over intent of tweets meaning,2,pro,37.86,user_7,hesitant,,4.0,NotAva,23.0,user_9,irrelevant,"maybe anti-vax, but it could also be from a place of intrigue",2.0,anti,30.097,additional_user_3
12,1.3392898712282683e+18,Good job Florida in getting the elderly their vaccinations. I’m sure @NYGovCuomo will give the New York elderly theirs last because he’s known to kill the elderly in bulk. 🖕🏼Inconsiderate duck.  #CuomoSucks #vaccination #CovidVaccine,irrelevant,,5,NotAva,15.867,user_10,anti,,4.0,NotAva,77.212,user_12,anti,,4.0,NotAva,105.739,additional_user_3
13,1.3409961855160727e+18,"I'm sick of the pushing of the # #vaccine . It's drug pushing, illegal and unethical!  @MattHancock @BorisJohnson  #NoMoreLockdowns #EnoughIsEnough #vaccination",hesitant,,5,NotAva,15.337,user_15,anti,,5.0,NotAva,7.252,user_14,anti,,5.0,NotAva,30.097,additional_user_3
